Keyword,Area,Universitas Terdekat,Nama,Alamat,Rating,Telepon,Website,Link,Latitude,Longitude
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Ibu Deri,"Jl. Purbaendah Kelurahan No.C45, RT.004/RW.009",4.8,+62 838-7188-9345,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-ibu-deri-tipe-a-arcamanik-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Ibu%20Deri&query_place_id=ChIJ7Z0hZ4LDaC4RNO_EnQxH_u0,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,KOOL KOST Syariah near Langlangbuana University,Jl. Penyu No.6,4.3,+62 21 80629666,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/turangga/buah-batu/kool-kost-syariah-near-langlangbuana-university?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,https://www.google.com/maps/search/?api=1&query=KOOL%20KOST%20Syariah%20near%20Langlangbuana%20University&query_place_id=ChIJN_wUHPXpaC4RXi238JRwH6w,,
kos Dago / Dipatiukur Bandung,Dago / Dipatiukur,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Harian & Bulanan Putri Bandung,Jl. Bagusrangin No.17B,4.3,+62 838-9550-7057,http://kostbara17b.blogspot.co.id/,https://www.google.com/maps/search/?api=1&query=Kost%20Harian%20%26%20Bulanan%20Putri%20Bandung&query_place_id=ChIJDyuUclLmaC4Ri6BnvLNubBo,,
kos Bandung Selatan / Timur Bandung,Bandung Selatan / Timur,Lainnya / Umum,KOST ENAM DELAPAN,Kompleks Margahayu Raya Barat Blok S2 No. 68,5,+62 812-2148-0442,https://www.instagram.com/kost.enamdelapan?igsh=MWJzaHNoZXcyZnQ3Mg==,https://www.google.com/maps/search/?api=1&query=KOST%20ENAM%20DELAPAN&query_place_id=ChIJswPEcd3paC4RZR2Nc2v-v-k,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,TS KOST PUTRI,3P55+63R,2.3,+62 821-1648-8259,https://www.instagram.com/reel/Con3UyyDgbz/?igshid=YmMyMTA2M2Y=,https://www.google.com/maps/search/?api=1&query=TS%20KOST%20PUTRI&query_place_id=ChIJLf9VpQ3DaC4R7Do1XhYI4bA,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Teratai 7,"Jl. Teratai VII No.11, RT.04/RW.12",4.7,+62 852-2029-9269,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-putri-teratai7-panyileukan-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Teratai%207&query_place_id=ChIJXdy06N3CaC4R_CoNibVwtR8,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,KOST RATU EXECUTIVE,Jl. Bulutangkis No.20,5,+62 857-1679-0967,https://www.instagram.com/kostbandung.ratukostexecutive?igsh=anVwaWU4bzlhNGtp,https://www.google.com/maps/search/?api=1&query=KOST%20RATU%20EXECUTIVE&query_place_id=ChIJ0TmOSsndaC4RJQX0Phr43xQ,,
kos Tamansari Bandung,Tamansari,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Farros tamansari mulai 700rb | tengah Bandung | Khusus Putra | Type A,Jl. Tamansari Gg. Pancaniti No.7,4.4,+62 821-2698-3976,https://kostamansaribandung.blogspot.com/,https://www.google.com/maps/search/?api=1&query=Kost%20Farros%20tamansari%20mulai%20700rb%20%7C%20tengah%20Bandung%20%7C%20Khusus%20Putra%20%7C%20Type%20A&query_place_id=ChIJZwktpEXmaC4RZtOqJ0yRlec,,
kos Antapani Bandung,Antapani,Lainnya / Umum,Kost Ibu Tobing Antapani,Jl. Banjarsari Raya No.2,5,+62 812-1420-5658,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-ase-maria-antapani-bandung,https://www.google.com/maps/search/?api=1&query=Kost%20Ibu%20Tobing%20Antapani&query_place_id=ChIJ-bmtoCfnaC4R9f2DZss7T8g,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,KOS ALMI PUTRI,"Gudang Sikat Gg. Mama Darma W, Jalan, RT.04/RW.02",5,+62 822-3417-4920,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-almi-blok-c-cibiru-bandung-2,https://www.google.com/maps/search/?api=1&query=KOS%20ALMI%20PUTRI&query_place_id=ChIJB8WSFQDdaC4R-5cGYMYOx-A,,
kos Cisitu Bandung,Cisitu,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Ayahome Kost Putri No.74,"Cisitu Indah, Dalam V No.74",4.4,+62 22 2508183,https://www.sewakost.com/jabar/bandung/ayahome-kost-putri-dekat-itb-unpad-ithb-unikom-unisba-bip-3932.html,https://www.google.com/maps/search/?api=1&query=Ayahome%20Kost%20Putri%20No.74&query_place_id=ChIJRWRJcQHnaC4RMnB2N3Q_Mec,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kos Putri Imah Incu,Jl. Kalijati 19 No.6,5,+62 821-1894-4433,https://s.id/KosImahIncu_Bandung,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Imah%20Incu&query_place_id=ChIJd4g6mn7naC4RbZ4pEWREiC8,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,NEW MADAM KOST BANDUNG khusus mahasiswa/ i,Jl. Moch. Yunus No.16,5,+62 823-1674-1124,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-madam-lenny-standart-cicendo-bandung-2,https://www.google.com/maps/search/?api=1&query=NEW%20MADAM%20KOST%20BANDUNG%20khusus%20mahasiswa%2F%20i&query_place_id=ChIJfbt3DMHnaC4RxlYVtjXEAwE,,
kos Cibiru / Panyileukan Bandung,Cibiru / Panyileukan,UIN Sunan Gunung Djati,Kost Putra Hani,"Dekat, Jl. Raya Cibiru No.11",5,+62 831-1591-1810,https://www.instagram.com/kost_putra_hani?igsh=MTFmaXh4ZWp4bmplbA%3D%3D&utm_source=qr,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Hani&query_place_id=ChIJv_qprlDDaC4R44ixlYPWVDA,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,kosan khusus putri,"Samping TK Al Manar, Denibim, Jl. AH. Nasution kp gudang sikat No.22 rt03, RW.02",5,+62 852-8070-1677,https://posts.gle/FVPSLW1VJyJ3CsJp7,https://www.google.com/maps/search/?api=1&query=kosan%20khusus%20putri&query_place_id=ChIJ1yvFzCXDaC4RH5FkkCgbU3g,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Pak Edwin,Jl. Ibrahim Adjie Blkg No.438,5,+62 858-6742-0898,https://mamikos.com/room/kost-kota-bandung-kost-putra-murah-kost-pak-edwin-batununggal-bandung-2,https://www.google.com/maps/search/?api=1&query=Kost%20Pak%20Edwin&query_place_id=ChIJKdGXj0PpaC4RaUUlnQSE4cs,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Nushafa Kost Putri,Jl. Parakan Indah Raya No.16,4.5,+62 812-8124-9489,https://nushafa.royalweb.my.id/,https://www.google.com/maps/search/?api=1&query=Nushafa%20Kost%20Putri&query_place_id=ChIJCUD2-4jpaC4R4Y4KwogTrVk,,
kos Bandung Selatan / Timur Bandung,Bandung Selatan / Timur,Lainnya / Umum,Kost Putri Airis,Jl. Riung Mungpulung 2 No.11,4.1,+62 811-235-601,https://mamikos.com/room/kost-bandung-kost-putri-murah-kost-airis-riung-bandung-gedebage-bandung/preview#/,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Airis&query_place_id=ChIJXwnwQ0LDaC4ReXeX2AwDA8Y,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Pamoyanan XV Residence,Jl. Pamoyanan no. 15 Astina Pajajaran,4.7,+62 811-978-625,http://wa.me/62811978625,https://www.google.com/maps/search/?api=1&query=Pamoyanan%20XV%20Residence&query_place_id=ChIJrbZnNmrmaC4R4FGVbYjWdqE,,
kos Bandung Selatan / Timur Bandung,Bandung Selatan / Timur,Lainnya / Umum,KOST MU 83 [Kost PUTRI],"Komp. Margahayu Raya, Jl. Merkuri Utara VIII No.3",5,+62 812-2366-1027,http://instagram.com/kostmu83bandung,https://www.google.com/maps/search/?api=1&query=KOST%20MU%2083%20%5BKost%20PUTRI%5D&query_place_id=ChIJZS1YIX7paC4RiaD6h4k7IzA,,
