title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,url,categoryName,
Mandiri Kost 2 UIN Bandung,4.8,4,"Jl. Kosambi Kelurahan No.35, RT.002/RW.002",Bandung City,West Java,ID,,+62 813-2282-7408,Property investment company,,,,,,,https://www.google.com/maps/search/?api=1&query=Mandiri%20Kost%202%20UIN%20Bandung&query_place_id=ChIJo2K45ojdaC4R0_Jc9YbJXuI,Property investment company,
KOST PUTRA PUTRI AL MUJIB,4,4,"Komplek patra asri, Jl. Pertamina No.Rt01 Rw 02 Blok L17",Bandung City,West Java,ID,,+62 889-7696-5646,Religious lodging,Hostel,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20PUTRA%20PUTRI%20AL%20MUJIB&query_place_id=ChIJ_X6FDgDDaC4RNbCorDoJIjc,Religious lodging,
Alfa House Kost,4.7,35,Unnamed Road,Bandung City,West Java,ID,https://mamikos.com/room/kost-bandung-kost-campur-murah-kost-alfa-house-tipe-a-panyileukan-bandung-1,,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Alfa%20House%20Kost&query_place_id=ChIJt-fLauHDaC4RUl6Xuw-fLu0,Boarding house,
Kost Pondok Delima Putra,5,5,"Pondok Delima Putra, Jl. Cikuda No.20, RT.5/RW.10",Bandung City,West Java,ID,,,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Pondok%20Delima%20Putra&query_place_id=ChIJg1rtosTdaC4RKx_LXPT_HSQ,Lodge,
Kost Bu Dewi Mantap (kosan putra),4.7,3,3PC9+5MP,Bandung City,West Java,ID,,+62 819-0111-1959,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Bu%20Dewi%20Mantap%20(kosan%20putra)&query_place_id=ChIJz5Ri5E_DaC4RqxBnk3ysPVU,Hotel,
Rumah Kost Puteri Seanu 2,4.8,33,"Kompleks Patra Asri A22 [PERTAMINA, Jl. Soekarno-Hatta No.857",Bandung City,West Java,ID,,+62 811-2240-547,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Rumah%20Kost%20Puteri%20Seanu%202&query_place_id=ChIJZTqx2tnCaC4RukLw0a5bGq0,Boarding house,
KOST PONDOK SUMBER MULYA,4.1,23,Jl. Gg. Kujang No.65,Bandung City,West Java,ID,,,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20PONDOK%20SUMBER%20MULYA&query_place_id=ChIJrckEItbCaC4Rv7xRCyVNDeE,Extended stay hotel,
KOST RIUNG BANDUNG - Riung Agri,4.7,26,Jl. Riung Arum Barat VIII No.115,Bandung City,West Java,ID,,+62 899-7074-121,Homestay,Hotel,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20RIUNG%20BANDUNG%20-%20Riung%20Agri&query_place_id=ChIJn56LOfXDaC4R_wPGhmURGTI,Homestay,
Kost Madina House,4.6,56,Jl. Mandala No.50,Bandung City,West Java,ID,,+62 821-1617-6815,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Madina%20House&query_place_id=ChIJE7HGadnCaC4RKvKtt1OZm2g,Extended stay hotel,
Kost vgh,3.9,21,Jl. Sakola No.2,Bandung City,West Java,ID,,+62 853-1836-9236,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20vgh&query_place_id=ChIJqZY7WgvDaC4ROz-U0dom1CA,Extended stay hotel,
Wisma Arrahman,4.6,32,"Jalan Terusan Saluyu No. 7. RT.8 / RW.12, Kec. Derwati, Bandung",Bandung City,West Java,ID,,+62 812-2342-4492,Guest house,,,,,,,https://www.google.com/maps/search/?api=1&query=Wisma%20Arrahman&query_place_id=ChIJk_oAc5nCaC4RouTyiLC5iVI,Guest house,
Kost Putri Zahra UIN Bandung,4.9,29,Jl. Desa Cipadung No.104,Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-zahra-cibiru-bandung#/,+62 857-7751-72788,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Zahra%20UIN%20Bandung&query_place_id=ChIJCfISMT3DaC4RDkWtZ6cHSbE,Boarding house,
Kost KANIA 1 (Khusus Putra),4.8,6,Jl. Manisi No.125,Bandung City,West Java,ID,,+62 822-9999-1914,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20KANIA%201%20(Khusus%20Putra)&query_place_id=ChIJG_uNVRzDaC4RFeYyn0JrFhw,Homestay,
Umi Kost ( kosan summarecon bandung ),4.6,9,Jl. Gedebage Selatan,Bandung City,West Java,ID,,+62 853-5280-2023,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Umi%20Kost%20(%20kosan%20summarecon%20bandung%20)&query_place_id=ChIJAS8tZPjDaC4RLHombmwmjWQ,Hostel,
Kosan ibu yati,5,2,Jl. Gg. Kujang No.106,Bandung City,West Java,ID,,+62 853-5381-8119,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20ibu%20yati&query_place_id=ChIJCdFb8lHDaC4RBMmSRvvoaxg,Extended stay hotel,
Kost Kadipaten 1 Antapani (Rumah Biru),4.8,5,"Rumah kos, jln kadipaten 1 2A, belakang griya No.03, RT.05",Bandung City,West Java,ID,,,Condominium complex,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Kadipaten%201%20Antapani%20(Rumah%20Biru)&query_place_id=ChIJqQrw6pHnaC4RTSajfIdYKA8,Condominium complex,
Kosan Putra - Putri pojok ( si uwa ),4.5,13,"3PH2+X4J, Jl. Sindang Sari V",Bandung City,West Java,ID,,,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Putra%20-%20Putri%20pojok%20(%20si%20uwa%20)&query_place_id=ChIJI3lbTojdaC4RGtdf5q-QSLM,Lodge,
Kos putra putri warna hijau sebelah kiri kalau dari bbws,,,"2MV6+X83, Jl. Rancabolang Blk. H",Bandung City,West Java,ID,,,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20putra%20putri%20warna%20hijau%20sebelah%20kiri%20kalau%20dari%20bbws&query_place_id=ChIJpWAiDQDpaC4RMDKhHGZ19no,Hostel,
Kos Gima Putra/Putri,5,3,Jl. Neptunus Utara II No.5,Bandung City,West Java,ID,,+62 878-2289-9681,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Gima%20Putra%2FPutri&query_place_id=ChIJwZDvq7jpaC4R_tngNtV321Q,Homestay,
Kost Putra Putri Mekar Mulya,4.3,6,Jl. Mekar Mulya No.102,Bandung City,West Java,ID,,+62 851-5059-9664,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Putri%20Mekar%20Mulya&query_place_id=ChIJfZRiGXPdaC4Rd0miwdFIdFc,Homestay,
Kos Putra Manisi 40,,,Jl. Manisi,Bandung City,West Java,ID,,+62 896-4315-3914,Guest house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putra%20Manisi%2040&query_place_id=ChIJQyiW4AjDaC4Rot3DskTW31Y,Guest house,
MARIA KOST BULBUL,4.6,25,"Blok N2 No. 15 Sekajati, Jl. Jupiter Barat No.II",Bandung City,West Java,ID,,+62 877-2000-7062,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=MARIA%20KOST%20BULBUL&query_place_id=ChIJtV-7ExnoaC4RW5UwMiI0Asc,Boarding house,
Kobi Kost 1 Buahbatu,4.3,15,Jl. Jupiter Tengah I No.36,Bandung City,West Java,ID,,+62 811-1380-2372,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kobi%20Kost%201%20Buahbatu&query_place_id=ChIJsxTxSC3paC4R_ZpwullElO4,Lodge,
Kost Orchid Buah Batu Bandung,4.7,23,Jl. Kencana Wangi I No.16,Bandung City,West Java,ID,http://www.instagram.com/kost_orchidbuahbatubandung,+62 896-1076-8228,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Orchid%20Buah%20Batu%20Bandung&query_place_id=ChIJBT4Rg_3paC4RJMbFM0FHQDI,Lodge,
Kosan Bebas,3.7,18,"3M75+HW8, Jl. Kawaluyaan Indah VII",Bandung City,West Java,ID,,,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Bebas&query_place_id=ChIJW6xftAfpaC4RexSGwRdKEz4,Hotel,
pondok kost bray ca'ang,4.8,26,,Bandung City,West Java,ID,,+62 882-1435-2125,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=pondok%20kost%20bray%20ca'ang&query_place_id=ChIJOd33P-znaC4RgvSkZnJRCJI,Boarding house,
Pondok Kangdilla,4.8,83,"Jl. Sukamanah Baru No.7, RT.005/RW.013",Bandung City,West Java,ID,,+62 815-6002-421,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Pondok%20Kangdilla&query_place_id=ChIJC4zxxr_paC4RhLTgJ1P5mog,Boarding house,
Little Spring Rooms,5,13,Jl. Jkt 2 No.18,Bandung City,West Java,ID,,+62 821-7825-1916,Homestay,Lodging,,,,,,https://www.google.com/maps/search/?api=1&query=Little%20Spring%20Rooms&query_place_id=ChIJlYn_B83naC4RtoeB-X_ymW8,Homestay,
Kost Margahayu,4.2,33,"Komplek Perumahan, Jl. Yupiter Utama II Jl. Yupiter Barat XII No.4 Blk e2",Bandung City,West Java,ID,,+62 812-8783-2611,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Margahayu&query_place_id=ChIJf8-fkBjoaC4RYQhdNnANp5s,Homestay,
Kost Bandung,5,3,Jl. Jupiter Barat No.34,Bandung City,West Java,ID,,,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Bandung&query_place_id=ChIJrcKr9NHpaC4RUTB5aXBq4-8,Homestay,
Kost Ibu Tres,4.8,5,Jl. Malangbong 5 No.20,Bandung City,West Java,ID,,+62 815-6066-494,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Ibu%20Tres&query_place_id=ChIJTwXOr4nnaC4RvCmgjsUmWlE,Homestay,
Kost HDR family,5,1,Jl kavling p dan k No.32,Bandung City,West Java,ID,,+62 838-2557-3532,Indoor lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20HDR%20family&query_place_id=ChIJcSkH09nDaC4RtvRdbKMF8JM,Indoor lodging,
Kosan firdaus indah (Kost Putra),5,2,"3PC7+C5X, Gang Pesantren",Bandung City,West Java,ID,,+62 895-3336-48331,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20firdaus%20indah%20(Kost%20Putra)&query_place_id=ChIJWYzIeQDDaC4RXH0hN8dqmNo,Lodge,
KOST SALWA,4.8,9,"Komplek, Jl. Permai Raya No.1, RT.4/RW.8",Bandung City,West Java,ID,,+62 811-2120-086,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20SALWA&query_place_id=ChIJ5_SuQQzDaC4RB9cePFVx6rs,Lodge,
KOST TIARA HOUSE 2 FASILITAS LENGKAP,4.6,19,"Komplek Bumi Panyileukan, G9 No. 17",Bandung City,West Java,ID,,+62 851-3694-9657,Lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20TIARA%20HOUSE%202%20FASILITAS%20LENGKAP&query_place_id=ChIJQSqTDRjDaC4Rr3dxv1BETIQ,Lodging,
Kost Biyono Bandung (khusus Putri),4.7,7,Jl. Graha No.G 01,Bandung City,West Java,ID,,+62 858-5862-5106,Youth hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Biyono%20Bandung%20(khusus%20Putri)&query_place_id=ChIJkUqabDXDaC4RMScV2slQmI0,Youth hostel,
Kost Wisma Elok 2,4.5,24,"Jl. Desa Cipadung, RT.04/RW.04",Bandung City,West Java,ID,,,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Wisma%20Elok%202&query_place_id=ChIJGQEqe5rDaC4RQ9k_eW18qDI,Lodge,
KOSTAN ALVARO,4.9,9,"Jl. AH. Nasution Gg, Masjid (Damri No.2",Bandung City,West Java,ID,,+62 878-2182-7586,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=KOSTAN%20ALVARO&query_place_id=ChIJU_m6CBXDaC4RDSnlwPc_BsU,Homestay,
Kos putra Terajana,5,2,"3PC9+2GQ, Jl. Manisi",Bandung City,West Java,ID,,,Housing society,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20putra%20Terajana&query_place_id=ChIJZVfbcADDaC4R_ZGCijtezfQ,Housing society,
TIBRA KOST,5,2,3PG7+4Q9,Bandung City,West Java,ID,,,Motel,,,,,,,https://www.google.com/maps/search/?api=1&query=TIBRA%20KOST&query_place_id=ChIJkTEdUJ_DaC4Re9whUKHk_f0,Motel,
Kosan Putra,,,"3P54+6X9 Kosan Putra dekat Seserahan Bandung by Sofia, Jl. Sakola",Bandung City,West Java,ID,,,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Putra&query_place_id=ChIJ0WU3HNTDaC4R52727Fxb__E,Homestay,
Kost Cipadung Permai 1/3,5,7,Jl. Permai I No.3,Bandung City,West Java,ID,,+62 821-8328-9514,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Cipadung%20Permai%201%2F3&query_place_id=ChIJ_zKoHAjDaC4RIvg2w445rGw,Extended stay hotel,
Jeni kost,4.5,57,Jl. Sman No.21,Bandung City,West Java,ID,,,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Jeni%20kost&query_place_id=ChIJwXWeK53CaC4RhG0i2nNwWvg,Boarding house,
KOSAN PONDOK CEMARA,5,10,"3P66+6VP, Jl. Terusan Panyileukan",Bandung City,West Java,ID,,+62 857-0802-5361,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=KOSAN%20PONDOK%20CEMARA&query_place_id=ChIJNWzMmRPDaC4R_8UxayV7pIE,Hostel,
Kost N 77 putri sholehah,5,6,Jl. Yupiter Barat XII Blok N II No.77,Bandung City,West Java,ID,,+62 811-2343-991,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20N%2077%20putri%20sholehah&query_place_id=ChIJFbaWBBvpaC4R5c0xV86Kcnw,Hotel,
Kost Pondok Aren,5,1,"3M46+GH9, Jl. Jupiter Barat",Bandung City,West Java,ID,,+62 878-2212-7222,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Pondok%20Aren&query_place_id=ChIJDfCFALfpaC4RjFYCvcgsFSk,Hotel,
Kamar kos,,,Jl. Antapani Lama,Bandung City,West Java,ID,,+62 895-3755-33696,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kamar%20kos&query_place_id=ChIJx1X6varCaC4RLEN4jkegSr4,Lodge,
Kosan Bu Cucu,4,4,"Jl. Kaum Kidul, RT. 04/01 . No 27A",Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-ibu-cucu-sukamulya-cinambo-bandung,+62 815-7378-0097,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Bu%20Cucu&query_place_id=ChIJkZdbIl7daC4R0J28nZ7cCZ0,Hostel,
Kost bintangloka rancabolang,4.6,14,Jl. Rancabolang No.28b,Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-pondok-bintangloka-buahbatu-bandung-2,,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20bintangloka%20rancabolang&query_place_id=ChIJ01bQoILpaC4R-P6oB5BM8SI,Lodge,
Kost Aina,5,2,Jalan Jupiter Selatan 12 Blok S2 54/58 KAV 1,Bandung City,West Java,ID,,+62 821-1356-5936,Guest house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Aina&query_place_id=ChIJwRBhClfpaC4RFKPnak1OOfM,Guest house,
Kost pak samudji,4.5,10,"3P44+4R6, Jl. Teratai II",Bandung City,West Java,ID,,+62 853-2046-0987,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20pak%20samudji&query_place_id=ChIJeTOBybrDaC4R30QPcfPJaDU,Lodge,
Kos Rafli (Putra),,,Jl. Merkuri Utara V No.5,Bandung City,West Java,ID,,,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Rafli%20(Putra)&query_place_id=ChIJh05WVQDpaC4RleZgVri63rs,Hostel,
Kost Kosan Cibiru Kosambi Pak Rudy,,,3P89+VV2,Bandung City,West Java,ID,,+62 838-2547-3009,Homestay,Boarding house,Extended stay hotel,Hostel,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Kosan%20Cibiru%20Kosambi%20Pak%20Rudy&query_place_id=ChIJ_XnkzPDDaC4Rhjv2Wfi_nrY,Homestay,
Rumah Kita Kost,4.5,88,"bekas asrama dharma husada, jl.antapani lama no.50, sebelah smpn No.49 Kel",Bandung City,West Java,ID,https://goo.gl/maps/acY2TTkzgWq,+62 878-2186-2692,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Rumah%20Kita%20Kost&query_place_id=ChIJ4YaFnPLnaC4R8-ePmnLhcHw,Boarding house,
Kosan D'flamboyan,4.5,25,Jl. Antapani Lama Gg. Tarumasari No.6,Bandung City,West Java,ID,,+62 895-2570-2469,Boarding house,Lodging,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20D'flamboyan&query_place_id=ChIJ4Qn-gPLnaC4R5yNXclGuSAM,Boarding house,
Kost ababil,,,"3P8C+C3W, Jl. Kosambi",Bandung City,West Java,ID,,,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20ababil&query_place_id=ChIJzwsFNgDDaC4ReiFJ2RjI5wk,Hostel,
Kosan El-Wina Putri,4.7,44,"Jl. Gg. Kujang No.11, RT.01/RW.06",Bandung City,West Java,ID,,+62 816-831-554,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20El-Wina%20Putri&query_place_id=ChIJ97SyG8bDaC4RUwDOi7JSJDo,Homestay,
Cipadung Indah Park,4.3,275,"taman cipadung indah, Komplek Jl. Kemala No.27",Bandung City,West Java,ID,,+62 822-1727-0628,Lodge,Housing development,,,,,,https://www.google.com/maps/search/?api=1&query=Cipadung%20Indah%20Park&query_place_id=ChIJ2dWKsNvCaC4RwurMZJnTLHM,Lodge,
Kos Kamila Panyileukan,5,2,Komp. Bumi Panyileukan No.e12 No 9,Bandung City,West Java,ID,http://instagram.com/houseofshina,+62 878-2407-5689,Boarding house,Homestay,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Kamila%20Panyileukan&query_place_id=ChIJLcG-iunDaC4Ri4W2od8JJVE,Boarding house,
Guest House Husna,4.9,11,Jl. Melati Utama No.58 A,Bandung City,West Java,ID,,+62 813-2000-0651,Holiday apartment rental,,,,,,,https://www.google.com/maps/search/?api=1&query=Guest%20House%20Husna&query_place_id=ChIJj3H9eaDDaC4RYyArSfoSTco,Holiday apartment rental,
Kost Putri Pondok Kabumi,4.7,36,"3P45+XF8, Jl. Anyelir 1",Bandung City,West Java,ID,http://wa.me/6285966295444,+62 819-0500-0156,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Pondok%20Kabumi&query_place_id=ChIJ3xymtd3CaC4RCnRUCDd5wg0,Boarding house,
Kost Classy,4.5,18,3P55+F67,Bandung City,West Java,ID,,,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Classy&query_place_id=ChIJmTH4WZvDaC4RTTMOM4-DgXs,Hostel,
Kosan Metro,4.4,54,"Venus Timur IX No. 1 Margahayu, Jl. Venus Tim. IX No.1",Bandung City,West Java,ID,,+62 812-2122-2260,Indoor lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Metro&query_place_id=ChIJzTmIVafCaC4Rzup54hqhdHE,Indoor lodging,
Kost Paviliun Mawar,4.4,45,Jl. Parakan Saat III No.145b,Bandung City,West Java,ID,,+62 812-2344-134,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Paviliun%20Mawar&query_place_id=ChIJTcE1J7LDaC4Rk3oZYKUa2rY,Extended stay hotel,
Kost pelita bunda,3.3,16,,Bandung City,West Java,ID,,+62 897-8910-037,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20pelita%20bunda&query_place_id=ChIJueQ7333DaC4R034g5woGIOg,Lodge,
Kost Pondok Batra,4.3,28,Jl. Baturaden VIII No.6,Bandung City,West Java,ID,,+62 813-2144-9843,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Pondok%20Batra&query_place_id=ChIJ0S6C9iroaC4RZl1t76zA90w,Extended stay hotel,
Kost Pondok Arjuna,5,5,3PC8+2FF,Bandung City,West Java,ID,,+62 823-1605-8109,Lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Pondok%20Arjuna&query_place_id=ChIJDQ1A3LvDaC4Rhq2v5tM0m2w,Lodging,
Kost Putri G-Homes Panyileukan,4.8,22,Bumi Panyileukan Blok Kav. IV RT 03/12,Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-g-homes-panyileukan-bandung#/,+62 877-2246-8680,Student dormitory,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20G-Homes%20Panyileukan&query_place_id=ChIJu1X0p07DaC4RwdyRP8tC1AQ,Student dormitory,
Cream House Kost Eksklusif,5,3,"3P56+P6F, Jl. Sakola II",Bandung City,West Java,ID,,+62 878-8346-7835,Apartment building,,,,,,,https://www.google.com/maps/search/?api=1&query=Cream%20House%20Kost%20Eksklusif&query_place_id=ChIJc8uWZ6rDaC4RPxVYeXEnSww,Apartment building,
Kost Pondok Berkah,5,2,Jl. Cidurian Baru No.17,Bandung City,West Java,ID,,,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Pondok%20Berkah&query_place_id=ChIJ8_sfKibpaC4RU2FXLtbTFsU,Boarding house,
Kosan,3,1,Jl. Sukamaju No.3,Bandung City,West Java,ID,,,Apartment building,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan&query_place_id=ChIJC3kCxBvdaC4R8CllyXrXpXo,Apartment building,
Muzhaffar Kost,3.7,3,"Kel, Jl. Desa Cipadung Kp. Cisalatri No.100a, RT.02/RW.06",Bandung City,West Java,ID,,+62 859-5666-4710,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Muzhaffar%20Kost&query_place_id=ChIJb1jOJ-rdaC4REzLJmhYN9jM,Extended stay hotel,
B Kost Putri Panyileukan,4.5,18,,Bandung City,West Java,ID,,+62 819-1050-7372,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=B%20Kost%20Putri%20Panyileukan&query_place_id=ChIJ7w6DPN_CaC4RKBpj8zq97DQ,Hotel,
Kosan Rahima,5,5,Jl. Teratai VII No.17,Bandung City,West Java,ID,,,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Rahima&query_place_id=ChIJlQaGGwDDaC4RCRhkgdgXpl8,Homestay,
Kos V74 Bandung,,,"Komplek Bina Marga Jl. Golf Selatan I Blk. V No.74, RT.04/RW.10",Bandung City,West Java,ID,,,Cottage rental,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20V74%20Bandung&query_place_id=ChIJjw7eKTo6qWkRGxvfmU1Qk4o,Cottage rental,
